Lista denombramientos efectuados por el Consejo (meses de: octubre, noviembre y diciembre de 2005) (ámbito social) 
Lista denombramientos efectuados por el Consejo 
(meses de: octubre, noviembre y diciembre de 2005) (ámbito social) 
(2006/C 35/01) 
Comité | Fin del mandato | Publicación en el DO | Persona sustituida | Dimisión /Nombramiento | Miembro/Titular/Suplente | Categoría | País | Persona nombrada | Adscripción | Fecha de la decisión del Consejo | 
Comité consultivo para la seguridad y la salud en el trabajo | 31.12.2006 | C 321 de 31.12.2003, DO C 116 de 30.04.2004, C 122 de 30.04.2004 | D. Tapio KUIKKO | Dimisión | Titular | Empresarios | Finlandia | D. Jyrki HOLLMÉN | Elinkeinoelämän keskusliitto | 28.11.2005 | 
Comité consultivo para la seguridad y la salud en el trabajo | 31.12.2006 | C 321 de 31.12.2003, DO C 116 de 30.04.2004, C 122 de 30.04.2004 | D.a Anette RÜCKERT | Dimisión | Suplente | Gobierno | Alemania | D. Ulrich RIESE | Bundesanstalt für Arbeittsschutz und Arbeitsmedizin | 28.11.2005 | 
Comité consultivo para la seguridad y la salud en el trabajo | 31.12.2006 | C 321 de 31.12.2003, DO C 116 de 30.04.2004, C 122 de 30.04.2004 | D.a Véronique CAZALS | Dimisión | Titular | Empresarios | Francia | D.a Nathalie BUET | MEDEF | 8.12.2005 | 
Consejo de dirección de la Agencia Europea para la seguridad y la salud en el trabajo | — | DO L 184 de 15.7.2005 DO C 161 de 05.07.2002, DO C 116 de 30.04.2004 | D.a Anette RÜCKERT | Dimisión | Titular | Gobierno | Alemania | Profesor Ulrich RIESE | Bundesanstalt für Arbeittsschutz und Arbeitsmedizin | 28.11.2005 | 
Consejo de dirección de la Agencia Europea para la seguridad y la salud en el trabajo | — | DO L 184 de 15.7.2005 DO C 161 de 05.07.2002, DO C 116 de 30.04.2004 | D. Marc BOISNEL | Dimisión | Titular | Gobierno | Francia | D. Robert PICCOLI | Ministère de l'emploi, de la cohésion sociale et du logement | 28.11.2005 | 
Consejo de dirección de la Agencia Europea para la seguridad y la salud en el trabajo | — | DO L 184 de 15.7.2005 DO C 161 de 05.07.2002, DO C 116 de 30.04.2004 | D.a Gwyneth DEAKINS | Dimisión | Titular | Gobierno | Reino Unido | D. Elizabeth HODKINSON | Health and Safety Executive | 28.11.2005 | 
Consejo de dirección de la Agencia Europea para la seguridad y la salud en el trabajo | — | DO L 184 de 15.7.2005 DO C 161 de 05.07.2002, DO C 116 de 30.04.2004 | D.a Véronique CAZALS | Dimisión | Suplente | Empresarios | Francia | D.a Nathalie BUET | MEDEF | 8.12.2005 | 
Consejo de dirección del Centro Europeo para el desarrollo de la formación profesional | 5.3.2006 | DO C 64 de 18.03.2003, DO C 116 de 30.04.2004 | D. Jochen LAUX | Dimisión | Miembro | Trabajadores | Alemania | D. Hans-Detlev KÜLLER | DGB | 11.10.2205 | 
Consejo de dirección del Centro Europeo para el desarrollo de la formación profesional | 5.3.2006 | DO C 64 de 18.03.2003, DO C 116 de 30.04.2004 | D.a Aviana BULGARELLI | Dimisión | Miembro | Gobierno | Italia | D. Antonio MONTANINO | Ministero del Lavoro e delle Politiche Sociali | 7.11.2005 | 
Consejo de dirección del Centro Europeo para el desarrollo de la formación profesional | 5.3.2006 | DO C 64 de 18.03.2003, DO C 116 de 30.04.2004 | — | Nombramiento | Miembro | Trabajadores | Bélgica | D. Justin DAERDEN | CSC | 7.11.2005 | 
Consejo de dirección de la Fundación Europea para la mejora de las condiciones de vida y de trabajo | 18.10.2007 | DO C 317 de 22.12.2004 | D.a Inger OHLSSON | Dimisión | Titular | Gobierno | Suecia | D. Mikael SJÖBERG | Arbetslivsinstitutet | 8.12.2005 | 
Consejo de dirección de la Fundación Europea para la mejora de las condiciones de vida y de trabajo | 18.10.2007 | DO C 317 de 22.12.2004 | Da Gunilla MALMBORG | Dimisión | Suplente | Gobierno | Suecia | D.a Annika MANSNÉRUS | Socialdepartementet | 8.12.2005 | 
-------------------------------------------------- 
