Decisi%oacute%n del Comit%eacute% Mixto del EEE n%deg%%nbsp%138/2004, de 29 de octubre de 2004, por la que se modifica el Protocolo 3 del Acuerdo EEE, en relaci%oacute%n con los productos a que se refiere la letra b) del apartado 3 del art%iacute%culo 8 del Acuerdo 
Decisión del Comité Mixto del EEE 
no 138/2004 
de 29 de octubre de 2004 
por la que se modifica el Protocolo 3 del Acuerdo EEE, en relación con los productos a que se refiere la letra b) del apartado 3 del artículo 8 del Acuerdo 
EL COMITÉ MIXTO DEL EEE, 
Visto el Acuerdo sobre el Espacio Económico Europeo, adaptado por el Protocolo por el que se adapta el Acuerdo sobre el Espacio Económico Europeo, denominado en lo sucesivo "el Acuerdo", y, en particular, su artículo 98, 
Considerando lo siguiente: 
(1) En el Protocolo 3 del Acuerdo, modificado por la Decisión del Comité Mixto del EEE no 140/2001 [1], se fijan los arreglos comerciales para determinados productos agrícolas y productos agrícolas transformados entre las partes contratantes. 
(2) En el momento de la adopción de la Decisión no 140/2001, la CE y Noruega declararon conjuntamente que debe suprimirse el componente no agrícola de los derechos de aduana aplicables a los productos del cuadro I del Protocolo 3. A partir de todo ello, las conversaciones entre funcionarios de la Comisión y de Noruega concluyeron en 11 de marzo de 2004. 
(3) Como consecuencia de la adopción de la Decisión no 140/2001, se han introducido modificaciones técnicas en las nomenclaturas aduaneras. 
(4) El apartado 2 del artículo 2 del Protocolo 3 del Acuerdo especifica que el Comité Mixto del EEE puede adaptar los derechos de aduana establecidos en los anexos del cuadro I del Protocolo 3 del Acuerdo teniendo en cuenta concesiones mutuas. 
(5) Tras la celebración de las conversaciones el 11 de marzo de 2004 y las modificaciones técnicas introducidas en las nomenclaturas aduaneras, deberían modificarse los anexos I y III del cuadro I del Protocolo 3 del Acuerdo. 
DECIDE: 
Artículo 1 
El Protocolo 3 del Acuerdo se modificará como sigue: 
1) En el anexo I del cuadro I, se sustituirán los apartados 4 a 6 y 8 por los apartados 4 a 6 y 8 del anexo I de la presente Decisión. 
2) En el apéndice del anexo I del cuadro I, se sustituirá la entrada "1904 90 90" por la entrada "1904 90 80". 
3) En el anexo III del cuadro I, se sustituirán los apartados 2, 7 y 9 a 19 por los apartados 2, 7 y 9 a 11 del anexo II de la presente Decisión. 
4) En el apartado 6 del anexo III del cuadro I, se sustituirá la entrada "cereales (excepto el maíz) en grano o en forma de copos u otro grano trabajado (excepto la harina y sémola), precocidos o preparados de otro modo, no expresados ni comprendidos en otra parte" por la entrada "cereales (excepto el maíz) en grano o en forma de copos u otro grano trabajado (excepto la harina, grañones y sémola), precocidos o preparados de otro modo, no expresados ni comprendidos en otra parte". 
5) En el apéndice del anexo III del cuadro I, se sustituirá la entrada "1905.3002" por la entrada "1905.3200". 
Artículo 2 
La presente Decisión entrará en vigor el 30 de octubre de 2004, siempre que se hayan transmitido al Comité Mixto del EEE todas las notificaciones previstas en el apartado 1 del artículo 103 del Acuerdo [2]. 
Será aplicable a partir del 1 de noviembre de 2004. 
Artículo 3 
La presente Decisión se publicará en la sección EEE y en el Suplemento EEE del Diario Oficial de la Unión Europea. 
Hecho en Bruselas, el 29 de octubre de 2004. 
Por el Comité Mixto del EEE 
El Presidente 
Kjartan Jóhannsson 
[1] DO L 22 de 24.1.2002, p. 34. 
[2] No se indican preceptos constitucionales. 
-------------------------------------------------- 
ANEXO I 
de la Decisión del Comité Mixto del EEE no 138/2004 
Los siguientes apartados sustituirán a los apartados 4 a 6 y 8 en el anexo I del cuadro I del Protocolo 3: 
"4) Los derechos de aduana de los productos enumerados en el cuadro siguiente son los que se especifican. 
Código NC | Derecho aplicado | Comentarios | 
5) La parte ad valorem de los derechos de aduana de los siguientes productos es del 0 %: 
0403 10 51 a 0403 10 59 
0403 10 91 a 0403 10 99 
0403 90 71 a 0403 90 79 
0403 90 91 a 0403 90 99 
0710 40 00 
0711 90 30 
1704 10 
1704 90 30 a 1704 90 99 
1806 10 20 a 1806 10 90 
1806 20 10 a 1806 20 50 
1806 20 70 
1806 20 80 
1806 20 95 
1806 31 00 
1806 32 
1806 90 11 a 1806 90 50 
1806 90 60 10 
1806 90 60 90 
1806 90 70 10 
1806 90 70 90 
1806 90 90 11 
1806 90 90 19 
1806 90 90 91 
1806 90 90 99 
1901 10 00 
1901 20 00 
1901 90 11 
1901 90 19 
1901 90 99 
1902 11 00 
1902 19 
1902 20 91 
1902 20 99 
1902 30 
1902 40 
1903 00 00 
1904 
1905 
2001 90 30 
2001 90 40 
2004 10 91 
2004 90 10 
2005 20 10 
2005 80 00 
2008 99 85 
2008 99 91 
2101 12 98 91 
2101 20 98 90 
2101 30 19 
2101 30 99 
2105 00 
2106 10 80 
2106 90 98 
2202 90 91 a 2202 90 99 
3302 10 29 
3505 10 10 
3505 10 90 
3505 20 
3809 10. 
6) La parte ad valorem de los derechos de aduana de los siguientes productos es del 5,8 %: 
2905 44 
3824 60 
8) Los códigos arancelarios establecidos en el presente anexo se refieren a los aplicables en la Comunidad a 1 de enero de 2004. Los términos de este anexo no se verán afectados por los futuros cambios que puedan introducirse en la nomenclatura arancelaria noruega.". 
[1] El tipo cero está suspendido temporalmente. En el caso de Islandia, se aplicará el acuerdo preferencial contemplado en el Protocolo no 2 del Acuerdo bilateral de libre comercio entre la Comunidad Europea y la Republica de Islandia (tipo de derechos cero). En el caso de Noruega, se adaptará el Protocolo 2 del Acuerdo bilateral de libre comercio entre la Comunidad Europea y el Reino de Noruega para incluir un contingente libre de derechos sobre las importaciones de esos productos originarios de Noruega en la Comunidad. 
-------------------------------------------------- 
ANEXO II 
de la Decisión del Comité Mixto del EEE no 138/2004 
Los siguientes apartados sustituirán a los apartados 2, 7 y 9 a 19 en el anexo III del cuadro I del Protocolo 3: 
"2) Los códigos arancelarios noruegos mencionados en el presente anexo se refieren a los aplicables en Noruega a 1 de enero de 2004. Los términos de este anexo no se verán afectados por los futuros cambios que puedan introducirse posteriormente en la nomenclatura arancelaria noruega. 
7) Los derechos de aduana de los productos enumerados en el cuadro siguiente son los que se especifican. 
Código arancelario noruego | Descripción de los productos | Derecho aplicado (NOK/kg) | 
05.01 | Cabello en bruto, incluso lavado o desgrasado; desperdicios de cabello | Cero | 
05.02 | Cerdas de cerdo o de jabalí; pelo de tejón y demás pelos para cepillería; desperdicios de dichas cerdas o pelos | Cero | 
05.03 | Crin y sus desperdicios, incluso en capas con soporte o sin él | Cero | 
05.05 | Pieles y demás partes de ave, con sus plumas o su plumón, plumas o partes de plumas, incluso recortadas, y plumón, en bruto o simplemente limpiados, desinfectados o preparados para su conservación; polvo y desperdicios de plumas o de partes de plumas | Cero | 
05.07 | Marfil, concha (caparazón) de tortuga, ballenas de mamíferos marinos, incluidas las barbas, cuernos, astas, cascos, pezuñas, uñas, garras y picos, en bruto o simplemente preparados, pero sin cortar en forma determinada; polvo y desperdicios de estas materias | Cero | 
05.08 | Coral y materias similares, en bruto o simplemente preparados, pero sin otro trabajo; valvas y caparazones de moluscos, crustáceos o equinodermos y jibiones, en bruto o simplemente preparados, pero sin cortar en forma determinada, incluso en polvo y desperdicios | Cero | 
05.09 | Esponjas naturales de origen animal | Cero | 
05.10 | Ámbar gris, castóreo, algalia y almizcle; cantáridas; bilis, incluso desecada; glándulas y demás sustancias de origen animal utilizadas para la preparación de productos farmacéuticos, frescas, refrigeradas, congeladas o conservadas provisionalmente de otra forma | Cero | 
07.10 | Hortalizas, incluso silvestres, aunque estén cocidas en agua o vapor, congeladas:– Maíz dulce: | | 
.4010 | – – Destinadas a la alimentación | 1,73 | 
.4090 | – – Las demás | Cero | 
07.11 | Hortalizas, incluso silvestres, conservadas provisionalmente (por ejemplo: con gas sulfuroso o con agua salada, sulfurosa o adicionada de otras sustancias para asegurar dicha conservación), pero todavía impropias para consumo inmediato:– Las demás hortalizas, incluso silvestres; mezclas de hortalizas, incluso silvestres:– – Maíz dulce: | | 
.9011 | – – – Destinadas a la alimentación | 1,73 | 
.9020 | – – – Las demás | Cero | 
13.02 | Jugos y extractos vegetales; materias pécticas, pectinatos y pectatos; agar-agar y demás mucílagos y espesativos derivados de los vegetales, incluso modificados:– Jugos y extractos vegetales: | | 
.1400 | – – De piretro (pelitre) o de raíces que contengan rotenona– – Los demás: | Cero | 
.1903 | – – – Extractos vegetales mezclados entre sí, para la fabricación de bebidas o de preparaciones alimenticias | Cero | 
.1904 | – – – Para usos terapéuticos o profilácticos (productos medicinales)– Materias pécticas, pectinatos y pectatos | Cero | 
ex .2000 | – – Con un contenido de azúcar añadido superior o igual al 5 % en peso | Cero | 
14.01 | Materias vegetales de las especies utilizadas principalmente en cestería o espartería [por ejemplo: bambú, roten (ratán), caña, junco, mimbre, rafia, paja de cereales, limpia, blanqueada o teñida, y corteza de tilo] | Cero | 
14.02 | Materias vegetales de las especies utilizadas principalmente para relleno (por ejemplo: "kapok" (miraguano de bombacáceas), crin vegetal, crin marina), incluso en capas aún con soporte de otras materias | Cero | 
14.03 | Materias vegetales de las especies utilizadas principalmente en la fabricación de escobas, cepillos o brochas [por ejemplo: sorgo, piasava, grama o ixtle (tampico)], incluso en torcidas o en haces | Cero | 
14.04 | Productos vegetales no expresados ni comprendidos en otra parte: | | 
.1000 | – Materias primas vegetales de las especies utilizadas principalmente para teñir o curtir | Cero | 
.9000 | – Los demás | Cero | 
15.17 | Margarina; mezclas o preparaciones alimenticias de grasas o aceites, animales o vegetales, o de fracciones de diferentes grasas o aceites de este capítulo excepto las grasas y aceites alimenticios y sus fracciones de la partida 15.16:– Margarina (excepto la margarina líquida):– – Las demás:– – – Animal: | | 
.1021 | – – – – Con un contenido de grasas de la leche superior al 10 % pero inferior o igual al 15 % en peso– – – Vegetal: | 14,5 % | 
.1031 | – – – – Con un contenido de grasas de la leche superior al 10 % pero inferior o igual al 15 % en peso– Las demás:– – Las demás:– – – Margarina líquida: | 14,5 % | 
.9032 | – – – – Con un contenido de grasas de la leche superior al 10 % pero inferior o igual al 15 % en peso– – – Mezclas líquidas o preparaciones alimenticias líquidas de aceites animales o vegetales, consistentes fundamentalmente en aceites vegetales: | 14,5 % | 
.9041 | – – – – Con un contenido de grasas de la leche superior al 10 % pero inferior o igual al 15 % en peso– – – Las demás: | 10,2 % | 
.9091 | – – – – Con un contenido de grasas de la leche superior al 10 % pero inferior o igual al 15 % en peso | Cero | 
ex .9098 | – – – – Mezclas o preparaciones culinarias para desmoldeo | Cero | 
15.20 | Glicerol en bruto; aguas y lejías glicerinosas: | | 
.0010 | – Destinados a la alimentación | 3,79 | 
15.22 | Degrás; residuos procedentes del tratamiento de grasas o ceras animales o vegetales: | | 
.0011 | – Destinado a la alimentación | 3,79 | 
17.02 | Los demás azúcares, incluidas la lactosa, maltosa, glucosa y fructosa (levulosa) químicamente puras, en estado sólido; jarabe de azúcar sin adición de aromatizante ni colorante; sucedáneos de la miel, incluso mezclados con miel natural; azúcar y melaza caramelizados:– Fructosa químicamente pura: | | 
.5010 | – – Destinados a la alimentación | 1,37 | 
.5090 | – – Los demás– Los demás, incluido el azúcar invertido y demás azúcares y jarabes de azúcar con un contenido de fructosa sobre producto seco de 50 % en peso: | Cero | 
ex .9022 | – – Maltosa químicamente pura destinada a la alimentación | 1,37 | 
ex .9099 | – – Maltosa químicamente pura no destinada a la alimentación | Cero | 
18.06 | Chocolate y demás preparaciones alimenticias que contengan cacao: | | 
.1000 | – Cacao en polvo con adición de azúcar u otro edulcorante | Cero | 
19.01 | Extracto de malta; preparaciones alimenticias de harina, sémola, almidón, fécula o extracto de malta, que no contengan cacao o con un contenido de cacao inferior al 40 % en peso, calculado sobre una base totalmente desgrasada, no expresadas ni comprendidas en otra parte; preparaciones alimenticias de productos de las partidas 04.01 a 04.04 que no contengan cacao o con un contenido inferior al 5 % en peso, calculado sobre una base totalmente desgrasada, no expresadas ni comprendidas en otra parte:– Preparaciones para la alimentación infantil acondicionadas para la venta al por menor: | | 
.1010 | – – De productos de las partidas 04.01 a 04.04– Las demás: | 5,10 | 
.9010 | – – Extracto de malta | Cero | 
19.04 | Productos a base de cereales obtenidos por inflado o tostado (por ejemplo, hojuelas o copos de maíz); cereales (excepto el maíz) en grano o en forma de copos u otro grano trabajado (excepto la harina y sémola), precocidos o preparados de otro modo, no expresados ni comprendidos en otra parte:– Productos a base de cereales obtenidos por inflado o tostado: | | 
.1010 | – – Copos de maíz– – Los demás: | Cero | 
.1091 | – – – Palomitas de maíz | Cero | 
.1099 | – – – Los demás– Los demás:– – Arroz precocinado sin ingredientes añadidos: | Cero | 
.9010 | – – – Destinado a la alimentación | 1,11 | 
.9020 | – – – Los demás | Cero | 
19.05 | Productos de panadería, pastelería o galletería, incluso con adición de cacao; hostias, sellos vacíos del tipo de los usados para medicamentos, obleas, para sellar, pastas secas de harina, almidón o fécula, en hojas, y productos similares: | | 
.2000 | – Pan de especias | 0,75 | 
20.01 | Hortalizas, incluso silvestres, frutas u otros frutos y demás partes comestibles de plantas, preparados o conservados en vinagre o en ácido acético:– Las demás:– – Hortalizas, incluso silvestres:– – – Maíz dulce (Zea mays var. saccharata): | | 
.9031 | – – – – Destinadas a la alimentación | 1,73 | 
.9041 | – – – – Las demás– – – Las demás: | Cero | 
.9062 | – – – – Palmitos | 2,22 | 
.9063 | – – – – Ñames, boniatos y partes comestibles similares de plantas, con un contenido de almidón o de fécula superior o igual al 5 % en peso | 2,22 | 
20.04 | Las demás hortalizas, incluso silvestres, preparadas o conservadas (excepto en vinagre o en ácido acético), congeladas (excepto los productos de la partida 20.06):– Las demás hortalizas, incluso silvestres, y las mezclas de hortalizas, incluso silvestres:– – Maíz dulce (Zea mays var. saccharata): | | 
.9011 | – – – Destinadas a la alimentación | 1,73 | 
.9020 | – – – Las demás | Cero | 
20.05 | Las demás hortalizas, incluso silvestres, preparadas o conservadas (excepto en vinagre o en ácido acético), sin congelar (excepto los productos de la partida 20.06):– Maíz dulce (Zea mays var. saccharata): | | 
.8010 | – – Destinadas a la alimentación | 1,73 | 
.8090 | – – Las demás | Cero | 
20.06 | Hortalizas, incluso silvestres, frutas u otros frutos o sus cortezas y demás partes de plantas, confitados con azúcar (almibarados, glaseados o escarchados):– Los demás productos: | | 
ex .0031 | – – Maíz dulce (Zea mays var. saccharata) con un contenido de azúcar superior al 13 % en peso destinado a la alimentación | 1,94 | 
ex .0031 | – – Maíz dulce (Zea mays var. saccharata) con un contenido de azúcar superior al 13 % en peso no destinado a la alimentación | Cero | 
ex .0091 | – – Maíz dulce (Zea mays var. saccharata) con un contenido de azúcar inferior o igual al 13 % en peso destinado a la alimentación | 1,94 | 
ex .0091 | – – Maíz dulce (Zea mays var. saccharata) con un contenido de azúcar inferior o igual al 13 % en peso no destinado a la alimentación | Cero | 
20.07 | Confituras, jaleas y mermeladas, purés y pastas de frutas u otros frutos, obtenidos por cocción, incluso con adición de azúcar u otro edulcorante:– Preparaciones homogeneizadas: | | 
.1001 | – – Con adición de azúcar u otro edulcorante | 5,30 | 
ex .1009 | – – Las demás, que no contengan azúcar u otro edulcorante, de materias primas que no sean fresas, grosellas negras ni frambuesas | 3,28 | 
ex .1009 | – – Las demás– Los demás:– – De agrios (cítricos): | 4,55 | 
.9110 | – – – Con adición de azúcar u otro edulcorante | Cero | 
.9190 | – – – Los demás– – Los demás:– – – Con adición de azúcar u otro edulcorante: | Cero | 
.9902 | – – – – De albaricoques, mangos, kiwis, melocotones o sus mezclas | Cero | 
ex .9903 | – – – – De arándanos rojos (Vaccinium vitis- idaea), arándanos comunes (Vaccinium myrtillus), los demás frutos de baya de las especies Vaccinium o camemoros (partida arancelaria noruega 0810.9010), o mezclas de esas bayas | 1,76 | 
ex .9903 | – – – – Los demás– – – Los demás: | 5,30 | 
.9907 | – – – – De albaricoques, mangos, kiwis, melocotones o sus mezclas | Cero | 
ex .9908 | – – – – De materias primas que no sean fresas, grosellas negras y frambuesas | 1,76 | 
ex .9908 | – – – – Los demás | 5,30 | 
20.08 | Frutas u otros frutos y demás partes comestibles de plantas, preparados o conservados de otro modo, incluso con adición de azúcar u otro edulcorante o alcohol, no expresados ni comprendidos en otra parte:– Frutos de cáscara, cacahuetes (cacahuetes, maníes) y demás semillas, incluso mezclados entre sí:– – Cacahuetes (cacahuetes, maníes): | | 
.1110 | – – – Manteca de cacahuete (cacahuete, maní)– – – Los demás: | Cero | 
.1180 | – – – – Destinado a la alimentación | 1,69 | 
.1191 | – – – – Los demás– Los demás, incluidas las mezclas (excepto las mezclas de la subpartida 2008.19):– – Palmitos: | Cero | 
.9110 | – – – Destinados a la alimentación– – Los demás: | 4,67 | 
ex .9903 | – – – Maíz, excepto el maíz dulce (Zea mays var. saccharata) destinado a la alimentación | 2,67 | 
21.01 | Extractos, esencias y concentrados de café, té o yerba mate y preparaciones a base de estos productos a base de café, té o yerba mate; achicoria tostada y demás sucedáneos del café tostados y sus extractos, esencias y concentrados:– Extractos, esencias y concentrados de café y preparaciones a base de estos extractos, esencias o concentrados o a base de café:– – Preparaciones a base de extractos, esencias o concentrados o a base de café | | 
ex .1202 | – – – Preparaciones a base de café, con un contenido de grasa de leche superior o igual al 1,5 %, de proteínas de leche superior o igual al 2,5 %, de azúcar superior o igual al 5 % o de almidón o fécula superior o igual al 5 %, en peso | Cero | 
ex .1209 | – – – Los demás, con un contenido de grasa de leche superior o igual al 1,5 %, de proteínas de leche superior o igual al 2,5 %, de azúcar superior o igual al 5 % o de almidón o fécula superior o igual al 5 %, en peso– Extractos, esencias y concentrados de té o yerba mate y preparaciones a base de estos extractos, esencias o concentrados o a base de té o de yerba mate: | Cero | 
ex .2010 | – – Extractos, esencias y concentrados de té, con un contenido de grasa de leche superior o igual al 1,5 %, de proteínas de leche superior o igual al 2,5 %, de azúcar superior o igual al 5 % o de almidón o fécula superior o igual al 5 %, en peso | Cero | 
ex .2091 | – – – Preparaciones a base de té o de yerba mate, con un contenido de grasa de leche superior o igual al 1,5 %, de proteínas de leche superior o igual al 2,5 %, de azúcar superior o igual al 5 % o de almidón o fécula superior o igual al 5 %, en peso– – Los demás: | Cero | 
ex .2099 | – – – Los demás, con un contenido de grasa de leche superior o igual al 1,5 %, de proteínas de leche superior o igual al 2,5 %, de azúcar superior o igual al 5 % o de almidón o fécula superior o igual al 5 %, en peso | Cero | 
ex .3000 | – Otros sucedáneos del café tostados distintos de la achicoria tostada; extractos, esencias y concentrados de otros sucedáneos del café tostados distintos de la achicoria tostada | Cero | 
21.02 | Levaduras (vivas o muertas); los demás microorganismos monocelulares muertos (excepto las vacunas de la partida 30.02); polvos de levantar preparados:– Levaduras vivas: | | 
.1010 | – – Levaduras de vino | Cero | 
.1020 | – – Levaduras para panificación, líquidas, prensadas o secas | Cero | 
.1090 | – – Las demás– Levaduras muertas; los demás microorganismos monocelulares muertos: | Cero | 
.2010 | – – Levaduras destinadas a la alimentación | 2,58 | 
.2020 | – – Las demás levaduras muertas | Cero | 
.2031 | – – Los demás microorganismos monocelulares muertos, destinados a la alimentación | 2,58 | 
.2040 | – – Los demás microorganismos monocelulares muertos, no destinados a la alimentación | Cero | 
.3000 | – Polvos de levantar preparados | Cero | 
21.03 | Preparaciones para salsas y salsas preparadas; condimentos y sazonadores, compuestos; harina de mostaza y mostaza preparada:– Ketchup y demás salsas de tomate: | | 
.2010 | – – Ketchup– Harina de mostaza y mostaza preparada:– – Mostaza preparada: | Cero | 
.3009 | – – – Mostaza preparada con un contenido de azúcar añadido superior o igual al 5 % en peso | Cero | 
21.04 | Preparaciones para sopas, potajes o caldos; sopas, potajes o caldos, preparados; preparaciones alimenticias compuestas homogeneizadas:– Preparaciones para sopas, potajes o caldos:– – En envases herméticamente cerrados:– – – Caldos de carne: | | 
.1011 | – – – Secos o desecados | Cero | 
21.05 | Helados, incluso con cacao:– Los demás: | | 
.0090 | – – Los demás | Cero | 
21.06 | Preparaciones alimenticias no expresadas ni comprendidas en otra parte:– Las demás: | | 
