COM documents other than legislative proposals adopted by the Commission 
COM documents other than legislative proposals adopted by the Commission 
(2006/C 184/13) 
Document | Part | Date | Title | 
COM(2006) 289 | | 13.6.2006 | Report from the Commission %quot%BETTER LAWMAKING 2005%quot% pursuant to Article 9 of the Protocol on the application of the principles of subsidiarity and proportionality (13th report) | 
COM(2006) 302 | | 15.6.2006 | Communication from the Commission to the Council and the European Parliament on an EU Forest Action Plan | 
COM(2006) 313 | | 19.6.2006 | Report from the Commission to the Council, the European Parliament, the European Economic and Social Committee and the Committee of the Regions: First report on the application of the Blood Directive | 
COM(2006) 316 | | 26.6.2006 | Green Paper on the role of Civil Society in Drugs Policy in the European Union | 
COM(2006) 317 | | 21.6.2006 | Communication from the Commission to the Council and the European Parliament — Financial Information on the European Development Funds | 
COM(2006) 319 | | 22.6.2006 | Communication from the Commission to the Council and the European Parliament: Towards a sustainable European wine sector | 
COM(2006) 320 | 1 | 28.6.2006 | Communication from the Commission to the European Parliament, the Council and the European Central Bank: Secondary legislation relating to the euro and Slovenia | 
COM(2006) 321 | | 21.6.2006 | Report from the Commission On the implementation in 2001-2002 of Regulation (EEC) 3820/85 on the harmonisation of certain social legislation relating to road transport (22nd report from the Commission on the implementation of the social legislation relating to road transport) | 
COM(2006) 327 | | 22.6.2006 | Communication from the Commission to the European Parliament and the Council: Technical adjustment of the financial framework for 2007 in line with movements in GNI and prices (Point 16 of the Interinstitutional Agreement of 17 May 2006 on budgetary discipline and sound financial management) | 
COM(2006) 328 | | 23.6.2006 | Communication from the Commission to the European Parliament and the Council on Actions for a Safer Europe | 
COM(2006) 331 | | 28.6.2006 | Communication from the Commission to the Council and the European Parliament: Implementing The Hague Programme: the way forward | 
COM(2006) 335 | | 16.6.2006 | Communication from the Commission to the Council — Termination of the Agreement between the European Community and the United States of America on the processing and transfer of PNR data by Air Carriers to the United States Department of Homeland Security, Bureau of Customs and Border Protection | 
COM(2006) 339 | 1 | 28.6.2006 | Communication from the Commission on the implementation of the Hercule programme and its extension during the period 2007 13 | 
COM(2006) 342 | | 30.6.2006 | Communication from the Commission to the Council: Review of the derogations in Annexes II and III of Council Directive 2003/96/EC that expire by the end of 2006 | 
COM(2006) 357 | | 4.7.2006 | Communication from the Commission to the Council, the European Parliament, the European Economic and Social Committee and the Committee of the Regions: Comments of the Commission on the conclusions and recommendations of the Mid-term Evaluation of the %quot%Intelligent Energy — Europe%quot% programme (2003-2006) | 
COM(2006) 366 | | 10.7.2006 | Report from the Commission: Annual Report from the Commission on the Guarantee Fund and its Management in 2005 | 
COM(2006) 371 | | 7.7.2006 | Report from the Commission On the operation of the provisions of Directive 2003/88/EC (organisation of working time for workers concerned with the carriage of passengers on regular urban transport services) | 
These texts are available on EUR-Lex: http://europa.eu.int/eur-lex/lex/ 
-------------------------------------------------- 
